Monitoring outputs/han_deberta_large_full/training_log.jsonl every 300s
Press Ctrl+C to stop

[20:03:35] No log entries yet. Process alive: True
[01:34:02] epoch=4 step=10200 loss=0.6711 | process=ALIVE
[01:39:02] epoch=4 step=10450 loss=0.6709 | process=ALIVE
[01:44:02] epoch=4 step=10700 loss=0.671 | process=ALIVE
[01:49:02] epoch=4 step=10900 loss=0.6713 | process=ALIVE
[01:54:02] epoch=4 step=11150 loss=0.6714 | process=ALIVE
[01:59:02] epoch=4 step=11400 loss=0.6713 | process=ALIVE
[02:04:02] epoch=4 step=11600 loss=0.6714 | process=ALIVE
[02:09:02] epoch=4 step=11750 loss=0.6713 | process=ALIVE
[02:14:02] epoch=4 step=11950 loss=0.6712 | process=ALIVE
[02:19:02] epoch=4 step=12150 loss=0.671 | process=ALIVE
[02:24:02] epoch=4 step=12350 loss=0.671 | process=ALIVE
[02:29:02] epoch=4 step=12500 loss=0.6709 | process=ALIVE
[02:34:02] epoch=4 step=12700 loss=0.6707 | process=ALIVE
[02:39:02] epoch=4 step=12850 loss=0.6706 | process=ALIVE
[02:44:02] epoch=4 step=13050 loss=0.6705 | process=ALIVE
[02:49:03] epoch=4 step=13200 loss=0.6705 | process=ALIVE
[02:54:03] epoch=4 step=13400 loss=0.6704 | process=ALIVE
[02:59:03] epoch=4 step=13550 loss=0.6704 | process=ALIVE
[03:04:03] epoch=4 step=13750 loss=0.6703 | process=ALIVE
[03:09:03] epoch=4 step=13900 loss=0.6702 | process=ALIVE
[03:14:03] epoch=4 step=14050 loss=0.6701 | process=ALIVE
[03:19:03] epoch=4 step=14250 loss=0.67 | process=ALIVE
[03:24:03] epoch=4 step=14400 loss=0.6701 | process=ALIVE
[03:29:03] epoch=4 step=14600 loss=0.6701 | process=ALIVE
[03:34:03] epoch=4 step=14750 loss=0.67 | process=ALIVE
[03:39:03] epoch=4 step=14950 loss=0.67 | process=ALIVE
[03:44:03] epoch=4 step=15100 loss=0.6701 | process=ALIVE
[03:49:04] epoch=4 step=15300 loss=0.6701 | process=ALIVE
[03:54:04] epoch=4 step=15450 loss=0.6703 | process=ALIVE
[03:59:04] epoch=4 step=15600 loss=0.6703 | process=ALIVE
[04:04:04] epoch=4 step=15800 loss=0.6702 | process=ALIVE
